TEAM,CONF,G,W,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,POSTSEASON,SEED,Win PCT
Lamar,Slnd,28,9,47.6,53,21.2,17.1,31.9,33.5,32.2,30.8,N/A,N/A,32.14285714
Florida St.,ACC,32,9,49.3,53.1,17.6,17.1,25.9,31.5,30.4,30.9,N/A,N/A,28.125
Nebraska Omaha,Sum,31,9,48.5,53.2,18.5,15.8,24.2,28.9,29.6,33.4,N/A,N/A,29.03225806
Coppin St.,MEAC,32,9,51,53.2,20.1,18.5,18.6,35.7,37.2,34.2,N/A,N/A,28.125
Dartmouth,Ivy,26,10,50,51.3,20.2,16.5,23.5,26.2,29.1,31.7,N/A,N/A,38.46153846
UC San Diego,BW,28,10,49.6,51.8,17.9,16.5,23.2,29.3,26.1,27.9,N/A,N/A,35.71428571
Canisius,MAAC,29,10,48.6,52.8,17.5,18.7,28.4,29.9,24.9,27.7,N/A,N/A,34.48275862
Northeastern,CAA,30,10,47.9,50.1,21.3,14.5,31.7,26.9,27.7,31.7,N/A,N/A,33.33333333
Loyola Chicago,A10,31,10,52.9,51.6,22.1,17.9,24.5,28.5,31.1,37.5,N/A,N/A,32.25806452
Georgia St.,SB,28,10,45.6,50.7,19.5,17.5,30.1,29.5,33.5,35.4,N/A,N/A,35.71428571
Charleston Southern,BSth,29,10,50.3,54.3,18.1,16.7,32.2,31,27.4,36.6,N/A,N/A,34.48275862
Arkansas Pine Bluff,SWAC,27,10,45.2,51.4,21.6,21.4,26.6,29,33.8,43.2,N/A,N/A,37.03703704
Little Rock,OVC,29,10,49.2,56.1,18,19.2,29.3,30.4,31.9,37,N/A,N/A,34.48275862
Central Michigan,MAC,29,10,46.5,51.9,22.9,19.2,30.5,32.5,36.9,41,N/A,N/A,34.48275862
SMU,Amer,32,10,47.4,51.8,18,18.7,28.1,30.5,33,32.8,N/A,N/A,31.25
UTSA,CUSA,30,10,47.4,52.5,19.5,15.4,28.5,31.2,37.4,30.6,N/A,N/A,33.33333333
Idaho,BSky,30,10,52,54.3,17.2,16.1,19.6,27.8,35.8,31.6,N/A,N/A,33.33333333
The Citadel,SC,31,10,49.3,52.4,18.2,16.9,20.8,31.7,28.9,33.9,N/A,N/A,32.25806452
Holy Cross,Pat,30,10,48.5,51.8,17.5,17.4,21.5,30.1,25.5,27.8,N/A,N/A,33.33333333
Central Connecticut,NEC,32,10,48.1,51.3,17.9,16.4,28.5,28.2,23.3,26.5,N/A,N/A,31.25
Houston Christian,Slnd,29,10,51.4,57.5,21.1,16.7,28,31.6,40.6,33.3,N/A,N/A,34.48275862
DePaul,BE,33,10,49.7,51.6,18.2,17.7,25.8,34.1,27.6,35.7,N/A,N/A,30.3030303
Fresno St.,MWC,30,11,49.3,51.2,18.1,19.7,24.9,28.2,24.3,32.1,N/A,N/A,36.66666667
San Diego,WCC,29,11,51.1,58.2,16,17.3,27.9,29.7,30.9,33.4,N/A,N/A,37.93103448
Bowling Green,MAC,29,11,50.5,54.1,17.5,16.3,29.8,28,32.5,33.6,N/A,N/A,37.93103448
Coastal Carolina,SB,28,11,47.5,53.1,17.8,15.5,30.3,30.7,28.9,29.3,N/A,N/A,39.28571429
Chicago St.,ind,27,11,48.8,53.3,21.3,16.7,33.5,33.2,31.9,35.9,N/A,N/A,40.74074074
Notre Dame,ACC,32,11,52,52.1,13.4,13.6,19.6,26.5,23.3,26.5,N/A,N/A,34.375
South Carolina,SEC,32,11,46.9,52.6,19.9,15.9,32.7,32.5,26.8,29.4,N/A,N/A,34.375
